"Company","Ticker","Stock Price","Market Cap","Last Quarter Filed","Last Quarter Revenue","Annualized Revenue","LTM Revenue","YoY Growth%","Revenue Multiple","Shares Outstanding (estimate)","IPO Year","Year Founded","Founder(s)","Headquarters","Last Quarter EBITDA","Annualized EBITDA","YoY Change in EBITDA%","EBITDA Margin","Last Quarter Net Income","Annualized Net Income","YoY Change in Net Income%","Net Income Margin","Cash and Short Term Investments","YoY Change in Cash and Short Term Investments%","Total Debt","Lead Investor(s) Pre-IPO","Pre-IPO Venture Funding Estimate","Employee Count","Annual Revenue per Employee (estimate)","Product Description","September 2024 Website Traffic (Estimate)","YoY Change in Website Traffic%","Company Website","Company Investor Relations Page","S-1 Filing","2023 10-K Filing"
"AppTech Payments","APCX","$0.18","$6,000,000","Jun 2025","$291,000","$1,164,000","$603,000","282.89%","5.15","33,333,333","1999","2012","Eric Ottens, Luke D'Angelo","Las Vegas, Nevada, United States","-$1,400,000","-$5,600,000","46.76%","-481.10%","-$1,860,000","-$7,440,000","36.34%","-639.18%","$138,000","762.50%","$147,000.00","N/A","$1.5 million","9","$129,300","Mobile payments, with features like digital wallets and transaction processing.","","","http://www.apptechcorp.com","http://www.apptechcorp.com/departments/investor-relations/","https://www.sec.gov/Archives/edgar/data/1070050/000157570521000053/apcx_s1.htm","https://www.sec.gov/Archives/edgar/data/1070050/000168316824002017/apptech_i10k-123123.htm"
"Asana","ASAN","$13.64","$3,222,000,000","Jul 2025","$196,940,000","$787,760,000","$756,419,000","9.89%","4.09","236,217,009","2020","2008","Dustin Moskovitz, Justin Rosenstein","San Francisco, California, United States","-$44,310,000","-$177,240,000","38.90%","-22.50%","-$48,360,000","-$193,440,000","33.01%","-24.56%","$475,220,000","-8.90%","$263,090,000.00","Generation Investment Management, 8VC, Founders Fund","$213.2 million","1819","$433,100","Project management solution for task management, collaboration, and progress tracking.","","","http://www.asana.com","http://investors.asana.com","https://www.sec.gov/Archives/edgar/data/1477720/000119312520228462/d855753ds1.htm","https://www.sec.gov/Archives/edgar/data/1477720/000147772024000011/asan-20240131.htm"
"Asure Software","ASUR","$8.04","$220,000,000","Jun 2025","$30,120,000","$120,480,000","$122,994,000","7.42%","1.83","27,363,184","1992","1985","Pat Goepel","Austin, Texas, United States","$1,530,000","$6,120,000","16.25%","5.08%","-$6,120,000","-$24,480,000","-40.44%","-20.32%","$66,000,000","218.29%","$17,733,000.00","Bessemer Venture Partners, Austin Ventures","$40 million","628","$191,800","Workforce management, including time and attendance tracking, scheduling, and workspace management.","","","http://www.asuresoftware.com","http://investor.asuresoftware.com","","https://www.sec.gov/Archives/edgar/data/884144/000088414424000022/asur-20231231.htm"
"Atlassian","TEAM","$172.04","$45,132,000,000","Jun 2025","$1,380,000,000","$5,520,000,000","$4,962,550,000","22.34%","8.18","262,334,341","2015","2002","Mike Cannon-Brookes, Scott Farquhar","Sydney, Australia","-$5,260,000","-$21,040,000","87.99%","-0.38%","-$23,900,000","-$95,600,000","87.86%","-1.73%","$2,940,000,000","25.58%","$1,249,338,000.00","Accel Partners, T. Rowe Price, Dragoneer Investment Group","$210 million","13813","$399,600","Collaboration and productivity tools, including sub-brands Jira, Confluence, and Trello.","","","http://www.atlassian.com","http://investors.atlassian.com","","https://www.sec.gov/Archives/edgar/data/1650372/000165037224000036/team-20240630.htm"
"Autodesk","ADSK","$318.51","$67,843,000,000","Jul 2025","$1,760,000,000","$7,040,000,000","$6,347,000,000","17.14%","9.64","213,001,162","1994","1982","John Walker, Dan Drake","San Rafael, California, United States","$532,000,000","$2,128,000,000","46.56%","30.23%","$313,000,000","$1,252,000,000","10.99%","17.78%","$2,240,000,000","19.06%","$2,559,000,000.00","Crosspoint Venture Partners, Sequoia Capital","$26 million","15300","$460,100","Design and engineering software for various industries, including architecture, engineering, construction, and manufacturing.","","","http://www.autodesk.com","http://investors.autodesk.com","","https://www.sec.gov/Archives/edgar/data/769397/000076939724000090/adsk-20240131.htm"
"Automatic Data Processing","ADP","$288.69","$116,932,000,000","Jun 2025","$5,130,000,000","$20,520,000,000","$19,044,500,000","7.51%","5.70","405,043,472","1983","1949","Henry Taub, Joe Taub","Roseland, New Jersey, United States","$1,360,000,000","$5,440,000,000","5.94%","26.51%","$910,600,000","$3,642,400,000","9.80%","17.75%","$7,850,000,000","169.33%","$3,319,900,000.00","Warburg Pincus, General Atlantic","N/A","64000","$320,600","Human resources solutions, including payroll, HR, time and attendance, and benefits administration.","","","http://www.adp.com","http://investors.adp.com","","https://www.sec.gov/Archives/edgar/data/8670/000000867024000024/adp-20240630.htm"
"AvePoint","AVPT","$15.45","$3,274,000,000","Jun 2025","$102,020,000","$408,080,000","$373,069,000","30.86%","8.02","211,909,385","2019","2001","Tianyi Jiang, Kai Gong","Jersey City, New Jersey, United States","$8,710,000","$34,840,000","1175.19%","8.54%","$2,700,000","$10,800,000","121.06%","2.65%","$430,140,000","86.34%","$16,533,000.00","Ticonderoga Capital, Goldman Sachs, Summit Partners","$294 million","2934","$139,100","Software solutions on top of Microsoft Office 365 and SharePoint, including data management, governance, and data migration tools.","","","http://www.avepoint.com","http://ir.avepoint.com","https://www.sec.gov/Archives/edgar/data/1777921/000121390019016033/fs12019_apextechnology.htm","https://www.sec.gov/Archives/edgar/data/1777921/000143774924006145/avpt20231231_10k.htm"
"Aware","AWRE","$2.84","$60,000,000","Jun 2025","$3,900,000","$15,600,000","$16,576,000","-9.88%","3.85","21,126,761","1996","1986","Edmund Reiter","Bedford, Massachusetts, United States","-$1,820,000","-$7,280,000","-51.29%","-46.67%","-$1,770,000","-$7,080,000","-62.44%","-45.38%","$23,680,000","-13.65%","$4,244,000.00","Venrock, Sigma Partners","$100 million","64","$243,800","Biometric authentication solutions, including face and voice recognition, for access management.","","","http://www.aware.com","http://www.aware.com/investor-relations/","","https://www.sec.gov/Archives/edgar/data/1015739/000095017024032239/awre-20231231.htm"
"Backblaze","BLZE","$9.55","$540,000,000","Jun 2025","$36,300,000","$145,200,000","$137,286,000","16.02%","3.72","56,544,503","2021","2007","Gleb Budman, Brian Wilson","San Mateo, California, United States","-$1,240,000","-$4,960,000","55.35%","-3.42%","-$7,100,000","-$28,400,000","31.42%","-19.56%","$50,540,000","113.74%","$46,339,000.00","T. Rowe Price, Bessemer Venture Partners","$5.3 million","346","$419,700","Cloud backup and storage solution.","","","http://www.backblaze.com","http://ir.backblaze.com","https://www.sec.gov/Archives/edgar/data/1462056/000119312521301141/d62601ds1.htm","https://www.sec.gov/Archives/edgar/data/1462056/000146205624000033/blze-20231231.htm"
"Bentley Systems","BSY","$52.22","$15,856,000,000","Jun 2025","$364,110,000","$1,456,440,000","$1,419,643,000","10.22%","10.89","303,638,453","2020","1984","Keith Bentley, Barry Bentley","Exton, Pennsylvania, United States","$101,190,000","$404,760,000","4.19%","27.79%","$70,480,000","$281,920,000","-2.17%","19.36%","$89,650,000","74.82%","$1,426,638,000.00","N/A","$1.05 billion","5500","$264,800","Platform for infrastructure design, construction, and operation. Its main features include 3D modeling, simulation, and collaboration tools.","","","http://www.bentley.com","http://investors.bentley.com","https://www.sec.gov/Archives/edgar/data/1031308/000089322002000491/w59294s-1.htm","https://www.sec.gov/Archives/edgar/data/1031308/000103130824000002/bsy-20231231.htm"
"Big Commerce","CMRC","$4.89","$395,000,000","Jun 2025","$84,430,000","$337,720,000","$337,541,000","3.18%","1.17","80,777,096","2020","2009","Eddie Machaalani, Mitchell Harper","Austin, Texas, United States","-$1,220,000","-$4,880,000","82.79%","-1.44%","-$8,380,000","-$33,520,000","25.53%","-9.93%","$134,460,000","-51.25%","–","General Catalyst, GGV Capital, SoftBank","$415 million","1161","$290,900","E-commerce platform for online stores, with customizable web templates and widgets, payment processing, and inventory management.","","","http://www.bigcommerce.com","http://investors.bigcommerce.com","https://www.sec.gov/Archives/edgar/data/1626450/000119312520191966/d844671ds1.htm","https://www.sec.gov/Archives/edgar/data/1626450/000095017024022864/bigc-20231231.htm"
"BILL Holdings","BILL","$51.37","$5,221,000,000","Jun 2025","$383,350,000","$1,533,400,000","$1,462,570,000","11.55%","3.40","101,635,196","2019","2006","René Lacerte","San Jose, California, United States","-$3,920,000","-$15,680,000","-446.73%","-1.02%","-$7,070,000","-$28,280,000","-193.14%","-1.84%","$2,220,000,000","39.75%","$1,772,842,000.00","Mastercard, Franklin Templeton, Bank of America","$345 million","2364","$648,600","Cloud-based software to streamline and automate accounts payable and accounts receivable processes","","","http://www.bill.com","http://investor.bill.com","https://www.sec.gov/Archives/edgar/data/1786352/000119312519293348/d710902ds1.htm","https://www.sec.gov/Archives/edgar/data/1786352/000178635224000035/bill-20240630.htm"
"Blackboxstocks","BLBX","$6.05","$23,000,000","Jun 2025","$518,780","$2,075,120","$2,338,675","-24.23%","11.08","3,801,653","2015","2018","Todd M. Mitchell","Boca Raton, Florida, United States","-$1,140,000","-$4,560,000","-38.93%","-219.75%","-$1,270,000","-$5,080,000","-44.57%","-244.81%","$38,160","-96.38%","$304,766.00","N/A","$2.5 million.","10","$207,500","Real-time stock market data, alerts, and analysis for stock traders.","","","http://www.blackboxstocks.com","N/A","https://www.sec.gov/Archives/edgar/data/1567900/000143774921023307/blkbx20211001_s1.htm","https://www.sec.gov/Archives/edgar/data/1567900/000143774924010302/blkbx20231231_10k.htm"
"Blend Labs","BLND","$4.19","$1,087,000,000","Jun 2025","$31,520,000","$126,080,000","$144,885,000","9.85%","8.62","259,427,208","2021","2012","Nima Ghamsari, Erin Collard, Rosco Hill","San Francisco, California, United States","-$3,560,000","-$14,240,000","71.87%","-11.29%","-$6,640,000","-$26,560,000","65.78%","-21.07%","$88,300,000","-21.58%","$3,832,000.00","General Atlantic, Tiger Global Management, 8VC","$665 million","540","$233,500","A digital lending platform for financial institutions geared towards the automation of the lending process.","","","http://www.blend.com","http://investor.blend.com","https://www.sec.gov/Archives/edgar/data/1855747/000119312521194971/d162671ds1.htm","https://www.sec.gov/Archives/edgar/data/1855747/000185574724000015/blnd-20231231.htm"
"Box","BOX","$32.52","$4,712,000,000","Jul 2025","$294,000,000","$1,176,000,000","$1,125,704,000","8.87%","4.01","144,895,449","2015","2005","Aaron Levie, Dylan Smith","Redwood City, California, United States","$29,310,000","$117,240,000","14.59%","9.97%","$13,440,000","$53,760,000","-34.40%","4.57%","$757,860,000","57.16%","$721,316,000.00","Draper Fisher Jurvetson, U.S. Venture Partners, Scale Venture Partners","$547 million","2810","$418,500","Content management and file sharing platform for file storage, access management, and collaboration.","","","http://www.box.com","http://www.boxinvestorrelations.com","https://www.sec.gov/Archives/edgar/data/1372612/000119312514112417/d642425ds1.htm","https://www.sec.gov/Archives/edgar/data/1372612/000095017024029241/box-20240131.htm"
"Braze","BRZE","$31.14","$3,465,000,000","Jul 2025","$180,110,000","$720,440,000","$654,622,000","23.79%","4.81","111,271,676","2021","2011","Jon Hyman, Mark Ghermezian, Bill Magnuson, and Jon Hyman","New York City, United States","-$35,260,000","-$141,040,000","-34.88%","-19.58%","-$27,900,000","-$111,600,000","-21.31%","-15.49%","$363,600,000","-27.86%","$87,440,000.00","Battery Ventures, ICONIQ Capital","$175 million","1699","$424,000","Customer engagament platform for personalized multi-channel messaging and targeted marketing campaigns.","","","http://www.braze.com","http://investors.braze.com","https://www.sec.gov/Archives/edgar/data/1676238/000119312521304909/d40379ds1.htm","https://www.sec.gov/Archives/edgar/data/1676238/000167623824000049/brze-20240131.htm"
"Bumble","BMBL","$6.91","$719,000,000","Jun 2025","$248,230,000","$992,920,000","$1,030,583,000","-7.59%","0.72","104,052,098","2021","2014","Whitney Wolfe Herd","Austin, Texas, United States","$88,090,000","$352,360,000","21.74%","35.49%","-$253,740,000","-$1,014,960,000","-1026.24%","-102.22%","$261,740,000","-8.69%","$629,516,000.00","Blackstone Group, Accel, Badoo Trading Limited","$2.2 billion","1200","$827,400","Dating and social networking application that allows users to connect, chat, and form relationships.","","","http://www.bumble.com","http://ir.bumble.com","https://www.sec.gov/Archives/edgar/data/1830043/000119312521009745/d20761ds1.htm","https://www.sec.gov/Archives/edgar/data/1830043/000095017024022104/bmbl-20231231.htm"
"C3 AI","AI","$17.50","$2,412,000,000","Jul 2025","$70,260,000","$281,040,000","$389,056,000","-19.44%","8.58","137,828,571","2020","2009","Thomas M. Siebel","Redwood City, California, United States","-$121,400,000","-$485,600,000","-74.76%","-172.79%","-$116,770,000","-$467,080,000","-85.86%","-166.20%","$711,900,000","-6.64%","$4,795,000.00","TPG, Breyer Capital, and Sutter Hill Ventures","$1.4 billion","1181","$238,000","Enterprise AI software for developing and deploying AI applications for various industries.","","","http://www.c3.ai","http://ir.c3.ai","https://www.sec.gov/Archives/edgar/data/1577526/000162828020016443/c3ais-1.htm","https://www.sec.gov/Archives/edgar/data/1577526/000162828024028786/ai-20240430.htm"
"CCC Intelligent Solutions Holdings","CCCS","$9.56","$6,226,000,000","Jun 2025","$260,450,000","$1,041,800,000","$996,961,000","11.97%","5.98","651,255,230","2021","1980","Frank Pope, David Marchese","Chicago, Illinois, United States","$65,500,000","$262,000,000","30.54%","25.15%","$12,960,000","$51,840,000","-35.92%","4.98%","$55,050,000","-76.86%","$823,946,000.00","N/A","N/A","7","$148,828,600","Software solutions for automotive claims processing and related industries.","","","http://www.cccis.com","http://ir.cccis.com","https://www.sec.gov/Archives/edgar/data/1818201/000114036120016639/nt10013544x2_s1.htm","https://www.sec.gov/Archives/edgar/data/1818201/000095017024022253/cccs-20231231.htm"
"Certara","CERT","$11.55","$1,855,000,000","Jun 2025","$104,570,000","$418,280,000","$405,755,000","12.06%","4.43","160,606,061","2020","2008","Mark L. Mathieu, Daniel Weiner","Princeton, New Jersey, United States","$24,010,000","$96,040,000","76.87%","22.96%","-$1,970,000","-$7,880,000","84.35%","-1.88%","$163,040,000","-29.00%","$311,897,000.00","Vector Capital, Arsenal Capital Partners","$250 million","1517","$275,700","Drug development and regulatory science solutions for pharmaceutical companies to manage their drug development process.","","","http://www.certara.com","http://ir.certara.com","https://www.sec.gov/Archives/edgar/data/1827090/000110465920126924/tm2030105-7_s1.htm","https://www.sec.gov/Archives/edgar/data/1827090/000182709024000006/cert-20231231.htm"
"Check Point Software Technologies","CHKP","$198.84","$21,548,000,000","Jun 2025","$665,200,000","$2,660,800,000","$2,641,800,000","6.02%","8.10","108,368,538","1996","1993","Gil Shwed, Marius Nacht, Shlomo Kramer","Tel Aviv, Israel","$221,100,000","$884,400,000","-0.50%","33.24%","$202,800,000","$811,200,000","2.74%","30.49%","$1,520,000,000","-8.17%","$298,000,000.00","N/A","N/A","6669","$399,000","Cybersecurity solutions including firewall and VPN software to protect networks and endpoints against cyber threats","","","http://www.checkpoint.com","http://www.checkpoint.com/about-us/investor-relations/","",""
"Circle","CRCL","$134.81","$30,999,000,000","Jun 2025","$658,080,000","$2,632,320,000","$2,031,775,000","53.03%","11.78","229,945,850","2025","2013","Jeremy Allaire, Sean Neville","New York City, New York, United States","-$323,670,000","-$1,294,680,000","-715.61%","-49.18%","-$482,100,000","-$1,928,400,000","-1564.33%","-73.26%","$1,120,000,000","–","$40,717,000.00","BlackRock, Fidelity, General Catalyst","$1.2 billion","900","","Stablecoin issuer and payments infrastructure for blockchain-based financial transactions.","","","http://www.circle.com","https://investor.circle.com/","https://www.sec.gov/Archives/edgar/data/1876042/000119312525070481/d737521ds1.htm",""
"Clearwater Analytics","CWAN","$19.19","$5,612,000,000","Jun 2025","$181,940,000","$727,760,000","$551,094,000","70.37%","7.71","292,443,981","2021","2003","Courtney McQuade, Michael Boren","Boise, Idaho, United States","$19,460,000","$77,840,000","154.03%","10.70%","-$23,220,000","-$92,880,000","-5301.16%","-12.76%","$71,920,000","-72.11%","$71,919,000.00","Warburg Pincus, Permira","$175 million","1915","$380,000","Investment data management, reporting, and analytics platform for institutional investors.","","","http://www.clearwateranalytics.com","http://investors.clearwateranalytics.com","https://www.sec.gov/Archives/edgar/data/1866368/000119312521260325/d179113ds1.htm","https://www.sec.gov/Archives/edgar/data/1866368/000162828024007825/cwan-20231231.htm"
"Cloudflare","NET","$219.24","$76,401,000,000","Jun 2025","$512,320,000","$2,049,280,000","$1,881,431,000","27.76%","37.28","348,481,117","2019","2009","Matthew Prince, Michelle Zatlyn, Lee Holloway","San Francisco, California, United States","-$14,380,000","-$57,520,000","-31.44%","-2.81%","-$50,450,000","-$201,800,000","-234.57%","-9.85%","$3,960,000,000","125.32%","$1,463,213,000.00","New Enterprise Associates (NEA), Pelion Venture Partners, Venrock, Union Square Ventures","$332 million","4616","$444,000","Content delivery network (CDN), DDoS protection, and internet security mostly for SMBs.","","","http://www.cloudflare.com","http://www.cloudflare.net","https://www.sec.gov/Archives/edgar/data/1477333/000119312519222176/d735023ds1.htm","https://www.sec.gov/Archives/edgar/data/1477333/000147733324000013/cloud-20231231.htm"
"Cognyte Software","CGNT","$8.34","$609,000,000","Apr 2025","$95,550,000","$382,200,000","$363,466,000","15.52%","1.59","73,021,583","2021","2019","Yuval Diskin, Ehud Schneorson","Herzliya, Israel","$4,940,000","$19,760,000","374.09%","5.17%","-$981,000","-$3,924,000","80.83%","-1.03%","$102,640,000","3.89%","$35,530,000.00","Advent International, Thoma Bravo","$80 million","1623","$235,500","Security analytics software for detection, investigation, and response to security threats in real-time.","","","http://www.cognyte.com","http://www.cognyte.com/investors/","",""
"Confluent","CFLT","$19.53","$6,733,000,000","Jun 2025","$282,280,000","$1,129,120,000","$1,064,824,000","20.13%","5.96","344,751,664","2021","2014","Jay Kreps, Neha Narkhede, Jun Rao","Mountain View, California, United States","-$89,090,000","-$356,360,000","13.08%","-31.56%","-$81,950,000","-$327,800,000","8.84%","-29.03%","$1,940,000,000","0.49%","$1,109,981,000.00","Sequoia Capital, Index Ventures","$456 million","3060","$369,000","Real-time data processing and analytics including data integration, event streaming, and data management.","","","http://www.confluent.io","http://investors.confluent.io","https://www.sec.gov/Archives/edgar/data/1699838/000119312521178773/d63025ds1.htm","https://www.sec.gov/Archives/edgar/data/1699838/000095017024018036/cflt-20231231.htm"
"Couchbase","BASE","$24.42","$1,349,000,000","Jul 2025","$57,570,000","$230,280,000","$220,639,000","11.59%","5.86","55,241,605","2021","2011","Damien Katz, J. Chris Anderson, Jan Lehnardt, Noah Slater, and Robert Newson","Mountain View, California, United States","-$25,020,000","-$100,080,000","-19.24%","-43.46%","-$23,790,000","-$95,160,000","-19.56%","-41.32%","$142,220,000","-8.91%","$4,316,000.00","Accel Partners, Mayfield Fund, Sorenson Capital","$300 million","45957","$5,000","NoSQL database","","","http://www.couchbase.com","http://investors.couchbase.com","https://www.sec.gov/Archives/edgar/data/1845022/000119312521194292/d73036ds1.htm","https://www.sec.gov/Archives/edgar/data/1845022/000184502224000020/base-20240131.htm"
"Coursera","COUR","$11.06","$1,811,000,000","Jun 2025","$187,100,000","$748,400,000","$721,669,000","9.86%","2.42","163,743,219","2021","2012","Andrew Ng, Daphne Koller","Mountain View, California, United States","-$12,400,000","-$49,600,000","57.97%","-6.63%","-$7,800,000","-$31,200,000","65.94%","-4.17%","$775,100,000","9.36%","$3,064,000.00","Arctic Ventures, Black River Ventures","$130 million","1260","$594,000","Online courses and educational content in partnership with universities and organizations worldwide.","","","http://www.coursera.org","http://investor.coursera.com","https://www.sec.gov/Archives/edgar/data/1651562/000119312521071525/d65490ds1.htm","https://www.sec.gov/Archives/edgar/data/1651562/000165156224000012/cour-20231231.htm"
"CrowdStrike","CRWD","$444.98","$111,670,000,000","Jul 2025","$1,170,000,000","$4,680,000,000","$4,341,102,000","21.28%","23.86","250,955,099","2019","2011","George Kurtz, Dmitri Alperovitch","Sunnyvale, California, United States","-$64,140,000","-$256,560,000","-222.31%","-5.48%","-$77,680,000","-$310,720,000","-265.22%","-6.64%","$4,970,000,000","23.12%","$788,901,000.00","Accel, Warburg Pincus, CapitalG","$481 million","10047","$465,800","Cybersecurity platform for endpoint protection, threat intelligence, and incident response.","","","http://www.crowdstrike.com","http://ir.crowdstrike.com","https://www.sec.gov/Archives/edgar/data/1535527/000104746919003095/a2238800zs-1.htm","https://www.sec.gov/Archives/edgar/data/1535527/000153552724000007/crwd-20240131.htm"
